Gap_4_Candles,Opening_5th_Candle,Max_Next_4,Min_Next_4
3.493,1889.565,1895.198,1889.565
6.53,1893.065,1895.198,1890.848
7.673,1894.288,1895.198,1889.958
8.523,1891.828,1892.975,1889.958
5.633,1892.555,1892.975,1889.958
4.35,1891.338,1892.648,1889.958
5.24,1890.825,1892.865,1889.978
3.017,1891.968,1892.865,1889.978
3.017,1890.815,1892.865,1890.618
2.69,1892.405,1892.865,1890.065
2.887,1891.755,1892.728,1890.065
2.887,1892.638,1892.655,1890.065
2.247,1890.835,1892.608,1890.065
2.8,1891.515,1894.258,1890.878
2.663,1892.448,1894.458,1890.878
2.59,1891.795,1894.458,1891.465
2.543,1892.258,1894.458,1890.778
3.38,1893.665,1894.458,1890.088
3.58,1893.408,1893.695,1890.088
2.993,1891.465,1893.908,1890.088
3.68,1891.568,1899.435,1890.088
4.37,1891.425,1899.435,1890.578
3.607,1892.345,1899.938,1890.915
3.82,1893.185,1899.938,1892.685
9.347,1898.238,1899.938,1894.178
8.857,1897.288,1899.938,1894.178
9.023,1898.178,1900.498,1894.178
7.253,1896.628,1900.498,1885.518
5.76,1897.178,1900.498,1884.895
5.76,1897.055,1900.498,1883.125
6.32,1894.428,1894.608,1883.125
14.98,1888.748,1889.528,1883.125
15.603,1884.998,1889.758,1883.125
17.373,1885.448,1890.078,1884.088
11.483,1885.708,1890.078,1885.505
6.403,1889.268,1890.148,1887.458
6.633,1888.755,1890.148,1887.458
5.99,1889.748,1890.148,1885.475
4.573,1888.608,1890.148,1884.835
2.69,1889.565,1889.795,1881.938
2.69,1889.048,1890.898,1881.938
4.673,1885.535,1892.485,1881.938
5.313,1885.195,1892.485,1881.938
7.857,1883.725,1892.485,1882.318
8.96,1890.118,1892.485,1889.635
10.547,1892.055,1892.348,1890.135
10.547,1891.848,1892.828,1890.135
10.167,1891.135,1893.008,1890.135
2.85,1890.785,1893.008,1890.455
2.213,1891.498,1893.415,1891.108
2.693,1892.408,1894.308,1891.688
2.873,1892.138,1894.798,1891.698
2.553,1892.418,1894.798,1892.038
2.307,1893.398,1894.798,1892.838
2.62,1894.198,1894.798,1892.838
3.1,1894.005,1894.435,1892.838
2.76,1893.748,1896.435,1892.838
1.96,1893.418,1896.435,1893.148
1.96,1893.538,1896.435,1893.378
1.597,1893.638,1896.698,1893.638
3.597,1895.888,1896.698,1894.108
3.287,1894.558,1896.698,1894.558
3.057,1896.228,1896.698,1895.018
3.06,1895.808,1898.388,1894.908
2.59,1895.268,1898.388,1894.908
2.14,1895.238,1898.788,1894.908
1.68,1895.238,1899.178,1894.908
3.48,1898.208,1903.328,1897.275
3.48,1897.358,1903.978,1897.358
3.88,1897.968,1905.085,1897.698
4.27,1899.065,1906.518,1899.055
